Lat,Lon
40.75559933557985,-73.98915539386583
40.78003578488496,-73.96567601104894
40.64655479141528,-73.78350835965874
40.72382169276325,-73.98894245435125
40.70282576610421,-74.18221452991524
40.769031598624466,-73.86868575353003
40.70005296469018,-73.93325491006
40.88527709429372,-73.87507923917423
40.68118892020171,-73.98084271235042
40.74263060081115,-74.00234771326032
40.7296564800592,-74.00078664131077
40.718738810992726,-73.95593529631715
40.703501558997424,-74.00590296005666
40.773544408897024,-73.98356830057917
40.620719985875624,-73.95870624999988
40.73734611946369,-74.03690489638352
40.75875674771008,-73.97264957445668
40.82155138870433,-73.94665553488407
40.758074943705154,-73.92334814739019
40.67121983873716,-73.94045827313971
40.72783248299321,-73.79784285714311
40.6294282580645,-74.01913767741935
40.71878644772395,-74.00700195779825
40.776654752226335,-73.95204978305466
40.74104516862813,-73.98512653645878
